Location,Period,Indicator,Tooltip,IndicatorCode,FactValueForMeasure,FactValueString,FactValueUoM,FactComments,LanguageName,'Facts'[LANGUAGE_CODE],LanguageOrder,SpaceTime,TimeDimValueCode,DataSourceDimValueCode,SpatialDimValueCode,Dim1ValueCode,Dim2ValueCode,Dim3ValueCode,SlicingDimCode,SlicingDimValueCode,IsLatestYear,LatestYearLabel,FactValueNumericPrefix
Zimbabwe,2006,Hospital beds (per 10 000 population),30,WHS6_102,30,,,WHO AFRO regional observatory,English,en,1,ZWE,2006,,ZWE,,,,,,FALSE,2006,
Zimbabwe,2011,Hospital beds (per 10 000 population),17,WHS6_102,17,,,WHO AFRO regional observatory,English,en,1,ZWE,2011,,ZWE,,,,,,TRUE,Latest,
Zambia,2008,Hospital beds (per 10 000 population),19,WHS6_102,19,,,WHO AFRO regional observatory,English,en,1,ZMB,2008,,ZMB,,,,,,FALSE,2008,
Zambia,2010,Hospital beds (per 10 000 population),20,WHS6_102,20,,,WHO AFRO regional observatory,English,en,1,ZMB,2010,,ZMB,,,,,,TRUE,Latest,
Yemen,2000,Hospital beds (per 10 000 population),5.9,WHS6_102,5.9,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,YEM,2000,,YEM,,,,,,FALSE,2000,
Yemen,2001,Hospital beds (per 10 000 population),5.9,WHS6_102,5.9,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,YEM,2001,,YEM,,,,,,FALSE,2001,
Yemen,2002,Hospital beds (per 10 000 population),5.9,WHS6_102,5.9,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,YEM,2002,,YEM,,,,,,FALSE,2002,
Yemen,2003,Hospital beds (per 10 000 population),5.9,WHS6_102,5.9,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,YEM,2003,,YEM,,,,,,FALSE,2003,
Yemen,2004,Hospital beds (per 10 000 population),5.9,WHS6_102,5.9,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,YEM,2004,,YEM,,,,,,FALSE,2004,
Yemen,2005,Hospital beds (per 10 000 population),6.1,WHS6_102,6.1,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,YEM,2005,,YEM,,,,,,FALSE,2005,
Yemen,2006,Hospital beds (per 10 000 population),7,WHS6_102,7,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,YEM,2006,,YEM,,,,,,FALSE,2006,
Yemen,2007,Hospital beds (per 10 000 population),7,WHS6_102,7,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,YEM,2007,,YEM,,,,,,FALSE,2007,
Yemen,2008,Hospital beds (per 10 000 population),7,WHS6_102,7,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,YEM,2008,,YEM,,,,,,FALSE,2008,
Yemen,2009,Hospital beds (per 10 000 population),7,WHS6_102,7,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,YEM,2009,,YEM,,,,,,FALSE,2009,
Yemen,2010,Hospital beds (per 10 000 population),7.2,WHS6_102,7.2,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,YEM,2010,,YEM,,,,,,FALSE,2010,
Yemen,2011,Hospital beds (per 10 000 population),7,WHS6_102,7,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,YEM,2011,,YEM,,,,,,FALSE,2011,
Yemen,2012,Hospital beds (per 10 000 population),7.2,WHS6_102,7.2,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,YEM,2012,,YEM,,,,,,FALSE,2012,
Yemen,2013,Hospital beds (per 10 000 population),6.7,WHS6_102,6.7,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,YEM,2013,,YEM,,,,,,FALSE,2013,
Yemen,2014,Hospital beds (per 10 000 population),7.1,WHS6_102,7.1,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,YEM,2014,,YEM,,,,,,FALSE,2014,
Yemen,2015,Hospital beds (per 10 000 population),7.1,WHS6_102,7.1,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,YEM,2015,,YEM,,,,,,FALSE,2015,
Yemen,2016,Hospital beds (per 10 000 population),7.1,WHS6_102,7.1,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,YEM,2016,,YEM,,,,,,FALSE,2016,
Yemen,2017,Hospital beds (per 10 000 population),7.1,WHS6_102,7.1,,,WHO EMRO regional observatory (Accessed on 26 May 2020),English,en,1,YEM,2017,,YEM,,,,,,TRUE,Latest,
Viet Nam,2000,Hospital beds (per 10 000 population),23.4,WHS6_102,23.4,,,Health Statistic Yearbook 2013 (page 45),English,en,1,VNM,2000,,VNM,,,,,,FALSE,2000,
Viet Nam,2005,Hospital beds (per 10 000 population),23.4,WHS6_102,23.4,,,Health Statistic Yearbook 2013 (page 45),English,en,1,VNM,2005,,VNM,,,,,,FALSE,2005,
Viet Nam,2010,Hospital beds (per 10 000 population),29.1,WHS6_102,29.1,,,Health Statistic Yearbook 2013 (page 45),English,en,1,VNM,2010,,VNM,,,,,,FALSE,2010,
Viet Nam,2013,Hospital beds (per 10 000 population),31.8,WHS6_102,31.8,,,Health Statistic Yearbook 2013 (page 45),English,en,1,VNM,2013,,VNM,,,,,,TRUE,Latest,
Venezuela (Bolivarian Republic of),2011,Hospital beds (per 10 000 population),9.32,WHS6_102,9.32,,,WHO PAHO PLISA (Accessed on 26 May 2020),English,en,1,VEN,2011,,VEN,,,,,,FALSE,2011,
Venezuela (Bolivarian Republic of),2014,Hospital beds (per 10 000 population),7.8,WHS6_102,7.8,,,WHO PAHO PLISA (Accessed on 26 May 2020),English,en,1,VEN,2014,,VEN,,,,,,FALSE,2014,
Venezuela (Bolivarian Republic of),2015,Hospital beds (per 10 000 population),7.32,WHS6_102,7.32,,,WHO PAHO PLISA (Accessed on 26 May 2020),English,en,1,VEN,2015,,VEN,,,,,,FALSE,2015,
Venezuela (Bolivarian Republic of),2016,Hospital beds (per 10 000 population),8.59,WHS6_102,8.59,,,WHO PAHO PLISA (Accessed on 26 May 2020),English,en,1,VEN,2016,,VEN,,,,,,FALSE,2016,
Venezuela (Bolivarian Republic of),2017,Hospital beds (per 10 000 population),8.71,WHS6_102,8.71,,,WHO PAHO PLISA (Accessed on 26 May 2020),English,en,1,VEN,2017,,VEN,,,,,,TRUE,Latest,
Uzbekistan,2000,Hospital beds (per 10 000 population),53.34,WHS6_102,53.34,,,"European Health for All database (WHO), 26 May 2020",English,en,1,UZB,2000,,UZB,,,,,,FALSE,2000,
Uzbekistan,2001,Hospital beds (per 10 000 population),53.4,WHS6_102,53.4,,,"European Health for All database (WHO), 26 May 2020",English,en,1,UZB,2001,,UZB,,,,,,FALSE,2001,
Uzbekistan,2002,Hospital beds (per 10 000 population),55.39,WHS6_102,55.39,,,"European Health for All database (WHO), 26 May 2020",English,en,1,UZB,2002,,UZB,,,,,,FALSE,2002,
Uzbekistan,2003,Hospital beds (per 10 000 population),54.79,WHS6_102,54.79,,,"European Health for All database (WHO), 26 May 2020",English,en,1,UZB,2003,,UZB,,,,,,FALSE,2003,
Uzbekistan,2004,Hospital beds (per 10 000 population),52.6,WHS6_102,52.6,,,"European Health for All database (WHO), 26 May 2020",English,en,1,UZB,2004,,UZB,,,,,,FALSE,2004,
Uzbekistan,2005,Hospital beds (per 10 000 population),51.95,WHS6_102,51.95,,,"European Health for All database (WHO), 26 May 2020",English,en,1,UZB,2005,,UZB,,,,,,FALSE,2005,
Uzbekistan,2006,Hospital beds (per 10 000 population),51.17,WHS6_102,51.17,,,"European Health for All database (WHO), 26 May 2020",English,en,1,UZB,2006,,UZB,,,,,,FALSE,2006,
Uzbekistan,2007,Hospital beds (per 10 000 population),48.32,WHS6_102,48.32,,,"European Health for All database (WHO), 26 May 2020",English,en,1,UZB,2007,,UZB,,,,,,FALSE,2007,
Uzbekistan,2008,Hospital beds (per 10 000 population),46.74,WHS6_102,46.74,,,"European Health for All database (WHO), 26 May 2020",English,en,1,UZB,2008,,UZB,,,,,,FALSE,2008,
Uzbekistan,2009,Hospital beds (per 10 000 population),45.78,WHS6_102,45.78,,,"European Health for All database (WHO), 26 May 2020",English,en,1,UZB,2009,,UZB,,,,,,FALSE,2009,
Uzbekistan,2010,Hospital beds (per 10 000 population),44.38,WHS6_102,44.38,,,"European Health for All database (WHO), 26 May 2020",English,en,1,UZB,2010,,UZB,,,,,,FALSE,2010,
Uzbekistan,2011,Hospital beds (per 10 000 population),43.22,WHS6_102,43.22,,,"European Health for All database (WHO), 26 May 2020",English,en,1,UZB,2011,,UZB,,,,,,FALSE,2011,
Uzbekistan,2012,Hospital beds (per 10 000 population),41.89,WHS6_102,41.89,,,"European Health for All database (WHO), 26 May 2020",English,en,1,UZB,2012,,UZB,,,,,,FALSE,2012,
Uzbekistan,2013,Hospital beds (per 10 000 population),39.94,WHS6_102,39.94,,,"European Health for All database (WHO), 26 May 2020",English,en,1,UZB,2013,,UZB,,,,,,FALSE,2013,
Uzbekistan,2014,Hospital beds (per 10 000 population),39.78,WHS6_102,39.78,,,"European Health for All database (WHO), 26 May 2020",English,en,1,UZB,2014,,UZB,,,,,,TRUE,Latest,
Uruguay,2011,Hospital beds (per 10 000 population),29.78,WHS6_102,29.78,,,WHO PAHO PLISA (Accessed on 26 May 2020),English,en,1,URY,2011,,URY,,,,,,FALSE,2011,
Uruguay,2012,Hospital beds (per 10 000 population),24.96,WHS6_102,24.96,,,WHO PAHO PLISA (Accessed on 26 May 2020),English,en,1,URY,2012,,URY,,,,,,FALSE,2012,
Uruguay,2013,Hospital beds (per 10 000 population),24.92,WHS6_102,24.92,,,WHO PAHO PLISA (Accessed on 26 May 2020),English,en,1,URY,2013,,URY,,,,,,FALSE,2013,
Uruguay,2014,Hospital beds (per 10 000 population),24.2,WHS6_102,24.2,,,WHO PAHO PLISA (Accessed on 26 May 2020),English,en,1,URY,2014,,URY,,,,,,FALSE,2014,
Uruguay,2015,Hospital beds (per 10 000 population),24.34,WHS6_102,24.34,,,WHO PAHO PLISA (Accessed on 26 May 2020),English,en,1,URY,2015,,URY,,,,,,FALSE,2015,
Uruguay,2016,Hospital beds (per 10 000 population),24.83,WHS6_102,24.83,,,WHO PAHO PLISA (Accessed on 26 May 2020),English,en,1,URY,2016,,URY,,,,,,FALSE,2016,
Uruguay,2017,Hospital beds (per 10 000 population),24.25,WHS6_102,24.25,,,WHO PAHO PLISA (Accessed on 26 May 2020),English,en,1,URY,2017,,URY,,,,,,TRUE,Latest,
United States of America,2000,Hospital beds (per 10 000 population),34.9,WHS6_102,34.9,,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",English,en,1,USA,2000,,USA,,,,,,FALSE,2000,
