Country,2019,2015,2010,2000
Afghanistan,53.9,52.6,51.1,46.8
Albania,69.1,69,67.6,65.2
Algeria,66.4,66,65.5,62.7
Angola,54.8,53.7,50.6,42.9
Antigua and Barbuda,67,66.8,66.7,65.5
Argentina,67.1,66.9,66.3,65.1
Armenia,67.1,66,64.8,63.5
Australia,70.9,70.6,70.2,68.6
Austria,70.9,70.4,69.9,68.2
Azerbaijan,63.6,63.1,61.7,58.5
Bahamas,64.4,64.2,64.3,62.7
Bahrain,65.9,66.2,65,61.9
Bangladesh,64.3,63.8,61.2,57
Barbados,67,67.2,67,66
Belarus,66,65.1,62.3,60.8
Belgium,70.6,70,69.2,67.8
Belize,65.3,65.1,64.6,62.3
Benin,55.5,54.3,53,49.6
Bhutan,63.4,62.6,61.7,57.1
Bolivia (Plurinational State of),63.3,62.7,61.7,57.9
Bosnia and Herzegovina,67.2,67,67,66.2
Botswana,53.9,52.8,50.6,40.1
Brazil,65.4,64.7,63.9,61.7
Brunei Darussalam,65.6,65.7,65.8,63.9
Bulgaria,66.3,65.9,65.2,63.5
Burkina Faso,54.9,53.4,51.2,44.9
Burundi,55.6,54,50.9,38.1
Cabo Verde,64.8,65.2,64.5,62
Cambodia,61.5,60.7,59,51.4
Cameroon,54.5,51.8,49.6,46.1
Canada,71.3,71.1,70.8,69.4
Central African Republic,46.4,44.2,42.5,38.7
Chad,52,50.5,48.6,44.7
Chile,70,69.4,68.5,67
China,68.5,68,66.7,63.7
Colombia,69,68.3,67.2,64.1
Comoros,58.9,58.2,57,53.8
Congo,56.2,54.9,53,45.4
Costa Rica,70,70,69.2,68
Côte d'Ivoire,54.8,52.5,49.5,44
Croatia,68.6,67.9,67.3,65.4
Cuba,67.8,68,68,67.1
Cyprus,72.4,71.6,70.8,69.1
Czechia,68.8,68.3,67.7,65.9
Democratic People's Republic of Korea,65,64.3,63,57.8
Democratic Republic of the Congo,54.1,52.4,49.9,45.3
Denmark,71,70.5,69.4,67.6
Djibouti,58,57,54.6,52.7
Dominican Republic,64,63.2,64.4,64.1
Ecuador,68.5,67.5,65.8,65.2
Egypt,63,62,61.7,61.2
