LOCATION,TIME,Value
AUS,2016,3.84
AUT,2016,7.42
AUT,2017,7.37
AUT,2018,7.27
BEL,2016,5.76
BEL,2017,5.66
BEL,2018,5.62
BEL,2019,5.58
CAN,2016,2.6
CAN,2017,2.53
CAN,2018,2.55
CAN,2019,2.52
CZE,2016,6.66
CZE,2017,6.63
CZE,2018,6.62
DNK,2016,2.6
DNK,2017,2.61
DNK,2018,2.43
DNK,2019,2.6
FIN,2016,3.97
FIN,2017,3.28
FIN,2018,3.61
FRA,2016,6.06
FRA,2017,5.98
FRA,2018,5.91
DEU,2016,8.06
DEU,2017,8
GRC,2016,4.2
GRC,2017,4.21
GRC,2018,4.2
HUN,2016,7
HUN,2017,7.02
HUN,2018,7.01
ISL,2016,3.13
ISL,2017,3.06
ISL,2018,2.87
ISL,2019,2.83
IRL,2016,2.96
IRL,2017,2.97
IRL,2018,2.97
ITA,2016,3.17
ITA,2017,3.18
ITA,2018,3.14
JPN,2016,13.11
JPN,2017,13.05
JPN,2018,12.98
KOR,2016,11.98
KOR,2017,12.27
KOR,2018,12.43
LUX,2016,4.81
LUX,2017,4.66
LUX,2018,4.51
LUX,2019,4.26
MEX,2016,1
MEX,2017,0.99
MEX,2018,0.98
NLD,2016,3.41
NLD,2017,3.28
NLD,2018,3.17
NZL,2016,2.74
NZL,2017,2.73
NZL,2018,2.62
NZL,2019,2.57
NOR,2016,3.68
NOR,2017,3.6
NOR,2018,3.53
POL,2016,6.64
POL,2017,6.62
POL,2018,6.54
PRT,2016,3.39
PRT,2017,3.39
PRT,2018,3.45
SVK,2016,5.78
SVK,2017,5.82
SVK,2018,5.7
ESP,2016,2.97
ESP,2017,2.97
ESP,2018,2.97
SWE,2016,2.34
SWE,2017,2.21
SWE,2018,2.14
CHE,2016,4.69
CHE,2017,4.65
CHE,2018,4.63
TUR,2016,2.75
TUR,2017,2.81
TUR,2018,2.85
GBR,2016,2.57
GBR,2017,2.54
GBR,2018,2.5
GBR,2019,2.46
USA,2016,2.77
USA,2017,2.87
CHL,2016,2.12
CHL,2017,2.11
CHL,2018,2.06
CHN,2016,4.02
CHN,2017,4.31
EST,2016,4.76
EST,2017,4.69
EST,2018,4.57
IND,2016,0.48
IND,2017,0.53
IDN,2016,0.99
IDN,2017,1.04
ISR,2016,2.99
ISR,2017,3.02
ISR,2018,2.98
RUS,2016,8.16
RUS,2017,8.05
RUS,2018,7.12
SVN,2016,4.49
SVN,2017,4.5
SVN,2018,4.43
COL,2016,1.68
COL,2017,1.7
COL,2018,1.71
LVA,2016,5.72
LVA,2017,5.57
LVA,2018,5.49
LTU,2016,6.69
LTU,2017,6.56
LTU,2018,6.43
CRI,2016,1.15
CRI,2017,1.14
CRI,2018,1.11
CRI,2019,1.1
